keyword,top50_total_views,top50_avg_views,top50_total_likes,top50_total_comments
Quan Vũ,16091206,328391,75812,6931
Quan Vân Trường,43996269,879925,113357,3322
Quan Công,24826988,496539,168080,6805
Quan Thánh,34178040,683560,96039,4768
