videoId,title,channel,publishedAt,views,likes,comments
DYhw5goN4Pc,Trận Đánh Mãn Nhãn Nhất Tam Quốc: LỮ BỐ 1 Mình Chấp 3 Anh Em LƯU QUAN TRƯƠNG | Hổ Uy Tướng,MỌT PHIM TRUNG QUỐC,2024-11-10,341822,746,114
T0QTFw7PBT8,"Ngũ hổ tướng Thục Hán: Quan Vũ, Trương Phi, Triệu Vân, Hoàng Trung, Mã Siêu | Lịch sử Trung Quốc",Sử Lược - Tóm Tắt Lịch Sử,2024-05-13,84338,457,63
BiJ7PelckmA,"Nếu Quan Vũ giết Tào Tháo ở Hoa Dung, Lưu Bị có thống nhất thiên hạ được hay không?",WECAP Kể chuyện xưa,2025-01-06,6729,21,5
rPuIsk5Ahp4,QUAN VŨ ĐÁNH TRẬN ĐẦU CHÉM HOA HÙNG | TAM QUỐC CHÍ | THREE KINGDOM,Phim Cực Đỉnh,2020-05-30,224516,161,17
8v5GKqucw3Y,[T16] THANH NIÊN XUYÊN KHÔNG LÀM CON TRAI QUAN VŨ có mưu lược sánh ngang Gia Cát Lượng tam quốc chí,Truyền hình hôm nay,2025-09-27,214580,1245,87
9fLE8NVbv_o,Khổng Minh 2 Lần Giết Chu Du Và Vén Màn Bí Ẩn Chu Du Vì Đâu Mà Chết | Quan Công Võ Thánh | Trùm Phim,Boss Movies,2022-07-07,459203,0,84
FJUzJTYkv1Y,LÃ MÔNG - BẠCH Y ĐỘ GIANG TRẢM THỦ QUAN VŨ VÀ CÁI CHẾT ĐẦY BÍ ẨN,BATTLECRY - HÀNH TRÌNH,2023-05-24,96450,553,128
Q_yKC8D6H50,CÁC ĐIỆU VŨ TRONG SINH HOẠT TẬP THỂ CHO BỘ ĐỘI (MỚI NHẤT),Bộ đội Cụ Hồ TV,2023-12-07,145853,525,60
qz9MmsGMZ0s,Quan Vũ ko sợ Mã Siêu xem thường Hoàng Trung. Vì sao chưa từng tỏ ra kiêu ngạo trước mặt Triệu Vân?,Tàng Kinh Các,2025-07-14,14743,120,62
bKXaGjvugkA,QUAN CÔNG HẠ PHÀM | Phim Lẻ Tam Quốc Diễn Nghĩa Hay Nhất | Thuyết Minh | Trùm Phim,Boss Movies,2022-07-13,642204,0,93
7zy50K8aZkk,Quan Vũ Vác Đao Nặng 200Kg Vượt 5 Ải Chém 6 Tướng Làm Nên Trận Đánh Khủng Nhất Tam Quốc | Yêu Phim,Yêu Phim,2022-07-05,344618,783,54
lCZiU_kakNU,Quan Công 1 Mình Vào Rừng Trảm Bay Đầu Sơn Tặc Giải Cứu Vương Phi | Kiếm Hiệp Hay,Drama Mỗi Ngày,2022-07-07,1077995,2355,42
xkYCPsaHPs8,Full | Ta Xuyên Không Thành Con Trai Võ Thánh Quan Vũ,Bối Hiện Đại,2026-04-06,15955,302,16
CiqP6ky7l-w,[Review Phim] Quan Vũ Tuyệt Lộ | Xuyên Không Thành Con Trai Quan Vũ Bày Kế Thống Nhất Tam Quốc,Hoa Trên Mây,2026-03-09,8883,111,8
7ugjdSxvYr4,"Trận Đấu Kinh Điển Nhất Của Hạng Vũ Và Lữ Bố, Ai Mới Xứng Danh Là Chiến Thần Bất Bại ? - Phim Hay 4K",MỌT PHIM TV,2025-10-28,392812,1655,159
ya6kGKTHKbA,Trần Hưng Đạo VS Quan Vũ | Lấy Gì Để So Sánh?,Đại Việt Lịch Sử,2025-10-28,545,6,10
